Extracted Header	Species
kraken:taxid|584|NZ_CP044135.1	bacteria
kraken:taxid|520|NZ_CP025523.1	bacteria
kraken:taxid|1192842|NZ_CP029989.1	bacteria
kraken:taxid|1192842|NZ_CP029990.1	bacteria
kraken:taxid|138532|NZ_CP080395.1	bacteria
kraken:taxid|138532|NZ_CP080396.1	bacteria
kraken:taxid|221822|NZ_CP010749.1	bacteria
kraken:taxid|221822|NZ_CP010750.1	bacteria
kraken:taxid|221822|NZ_CP010751.1	bacteria
kraken:taxid|221822|NZ_CP010752.1	bacteria
kraken:taxid|221822|NZ_CP010753.1	bacteria
kraken:taxid|221822|NZ_CP010754.1	bacteria
kraken:taxid|221822|NZ_CP010755.1	bacteria
kraken:taxid|1795874|NZ_CP014505.1	bacteria
kraken:taxid|1795874|NZ_CP014506.1	bacteria
kraken:taxid|1795874|NZ_CP014507.1	bacteria
kraken:taxid|1795874|NZ_CP014508.1	bacteria
kraken:taxid|1795874|NZ_CP014509.1	bacteria
kraken:taxid|1795874|NZ_CP014510.1	bacteria
kraken:taxid|1795874|NZ_CP014511.1	bacteria
kraken:taxid|1795874|NZ_CP014512.1	bacteria
kraken:taxid|128785|NZ_CP060731.1	bacteria
kraken:taxid|817|NZ_CP036546.1	bacteria
kraken:taxid|817|NZ_CP036547.1	bacteria
kraken:taxid|817|NZ_CP036548.1	bacteria
kraken:taxid|817|NZ_CP036549.1	bacteria
kraken:taxid|88688|NZ_CP027850.1	bacteria
kraken:taxid|1351|NZ_CP115992.1	bacteria
kraken:taxid|1351|NZ_CP115993.1	bacteria
kraken:taxid|1351|NZ_CP115994.1	bacteria
kraken:taxid|1351|NZ_CP115995.1	bacteria
kraken:taxid|2815360|NZ_CP071311.1	bacteria
kraken:taxid|2815360|NZ_CP071312.1	bacteria
kraken:taxid|2815360|NZ_CP071313.1	bacteria
kraken:taxid|2815360|NZ_CP071314.1	bacteria
kraken:taxid|2815360|NZ_CP071315.1	bacteria
kraken:taxid|2815360|NZ_CP071316.1	bacteria
kraken:taxid|168471|NZ_LR698992.1	bacteria
kraken:taxid|1496|NZ_CP033214.1	bacteria
kraken:taxid|1496|NZ_CP033215.1	bacteria
kraken:taxid|562|NZ_CP019029.1	bacteria
kraken:taxid|562|NZ_CP019028.1	bacteria
kraken:taxid|562|NZ_CP019027.1	bacteria
kraken:taxid|562|NZ_CP019025.1	bacteria
kraken:taxid|562|NZ_CP019024.1	bacteria
kraken:taxid|562|NZ_CP019023.1	bacteria
kraken:taxid|562|NZ_CP019022.1	bacteria
kraken:taxid|562|NZ_CP019021.1	bacteria
kraken:taxid|562|NZ_CP019026.1	bacteria
kraken:taxid|2860285|NZ_CP083439.1	bacteria
kraken:taxid|2860285|NZ_CP083440.1	bacteria
kraken:taxid|1767|NZ_AP024260.1	bacteria
kraken:taxid|1767|NZ_AP024261.1	bacteria
kraken:taxid|562|NZ_CP092532.1	bacteria
kraken:taxid|2220073|NZ_CP030034.1	bacteria
kraken:taxid|996|NZ_CP013012.1	bacteria
kraken:taxid|573|NZ_CP025143.1	bacteria
kraken:taxid|573|NZ_CP025144.1	bacteria
kraken:taxid|573|NZ_CP025145.1	bacteria
kraken:taxid|1639|NZ_CP045746.1	bacteria
kraken:taxid|2847989|NZ_CP077683.1	bacteria
